Loading Krux control tag.
Page Loaded. Starting Tests
HERP DERP
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_2.H25.2|Check that the title element describes the document.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Name|This select element does not have a name available to an accessibility API. Valid names are: label element, title attribute.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Value|This select element does not have a value available to an accessibility API. Add one by adding a "selected" attribute to one of its options.
ERROR|WCAG2A.Principle1.Guideline1_3.1_3_1.H44.2|Form control does not have an explicit label or title attribute, identifying the purpose of the control.
WARNING|WCAG2A.Principle1.Guideline1_3.1_3_1.H85.2|If this selection list contains groups of related options, they should be grouped with optgroup.
NOTICE|WCAG2A.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Name|This select element does not have a name available to an accessibility API. Valid names are: label element, title attribute.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Value|This select element does not have a value available to an accessibility API. Add one by adding a "selected" attribute to one of its options.
ERROR|WCAG2A.Principle1.Guideline1_3.1_3_1.H44.2|Form control does not have an explicit label or title attribute, identifying the purpose of the control.
WARNING|WCAG2A.Principle1.Guideline1_3.1_3_1.H85.2|If this selection list contains groups of related options, they should be grouped with optgroup.
NOTICE|WCAG2A.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Name|This select element does not have a name available to an accessibility API. Valid names are: label element, title attribute.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Value|This select element does not have a value available to an accessibility API. Add one by adding a "selected" attribute to one of its options.
ERROR|WCAG2A.Principle1.Guideline1_3.1_3_1.H44.2|Form control does not have an explicit label or title attribute, identifying the purpose of the control.
WARNING|WCAG2A.Principle1.Guideline1_3.1_3_1.H85.2|If this selection list contains groups of related options, they should be grouped with optgroup.
NOTICE|WCAG2A.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Name|This select element does not have a name available to an accessibility API. Valid names are: label element, title attribute.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_2.H91.Select.Value|This select element does not have a value available to an accessibility API. Add one by adding a "selected" attribute to one of its options.
ERROR|WCAG2A.Principle1.Guideline1_3.1_3_1.H44.2|Form control does not have an explicit label or title attribute, identifying the purpose of the control.
WARNING|WCAG2A.Principle1.Guideline1_3.1_3_1.H85.2|If this selection list contains groups of related options, they should be grouped with optgroup.
NOTICE|WCAG2A.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
